'Year SSP119        SSP126       SSP245     SSP370     SSP434     SSP460      SSP585      SSP534-over  RCP2.6     RCP4.5     RCP6.0      RCP8.5
1932  0.37160865    0.37160865   0.3716086  0.3716086  0.3716086  0.3716086   0.3699943   0.3716086    0.3823529  0.3823529  0.3823529   0.3823529
1933  0.36921248    0.36921248   0.3692124  0.3692124  0.3692124  0.3692124   0.3681337   0.3692124    0.3753963  0.3753963  0.3753963   0.3753963
1934  0.37755577    0.37755577   0.3775557  0.3775557  0.3775557  0.3775557   0.3760940   0.3775557    0.3865998  0.3865998  0.3865998   0.3865998
1935  0.39114536    0.39114536   0.3911453  0.3911453  0.3911453  0.3911453   0.3898376   0.3911453    0.4021115  0.4021115  0.4021115   0.4021115
1936  0.40206413    0.40206413   0.4020641  0.4020641  0.4020641  0.4020641   0.4004586   0.4020641    0.4111915  0.4111915  0.4111915   0.4111915
1937  0.41503276    0.41503276   0.4150327  0.4150327  0.4150327  0.4150327   0.4136127   0.4150327    0.4274033  0.4274033  0.4274033   0.4274033
1938  0.42435897    0.42435897   0.4243589  0.4243589  0.4243589  0.4243589   0.4230139   0.4243589    0.4399489  0.4399489  0.4399489   0.4399489
1939  0.43056311    0.43056311   0.4305631  0.4305631  0.4305631  0.4305631   0.4291623   0.4305631    0.4391476  0.4391476  0.4391476   0.4391476
1940  0.43861461    0.43861461   0.4386146  0.4386146  0.4386146  0.4386146   0.4375576   0.4386146    0.4451224  0.4451224  0.4451224   0.4451224
1941  0.43877921    0.43877921   0.4387792  0.4387792  0.4387792  0.4387792   0.4373343   0.4387792    0.4422490  0.4422490  0.4422490   0.4422490
1942  0.44294006    0.44294006   0.4429400  0.4429400  0.4429400  0.4429400   0.4415313   0.4429400    0.4502718  0.4502718  0.4502718   0.4502718
1943  0.44556695    0.44556695   0.4455669  0.4455669  0.4455669  0.4455669   0.4441253   0.4455669    0.4537935  0.4537935  0.4537935   0.4537935
1944  0.44687762    0.44687762   0.4468776  0.4468776  0.4468776  0.4468776   0.4451962   0.4468776    0.4544391  0.4544391  0.4544391   0.4544391
1945  0.45361944    0.45361944   0.4536194  0.4536194  0.4536194  0.4536194   0.4519584   0.4536194    0.4615029  0.4615029  0.4615029   0.4615029
